,cluster,log_size,lgbm_default_training_cov_3.5_fbeta,lgbm_default_validation_cov_3.5_fbeta,lgbm_optimal_training_cov_3.5_fbeta,lgbm_optimal_validation_cov_3.5_fbeta,lr_default_training_cov_3.5_fbeta,lr_default_validation_cov_3.5_fbeta,lr_optimal_training_cov_3.5_fbeta,lr_optimal_validation_cov_3.5_fbeta,rfmulti_default_training_cov_3.5_fbeta,rfmulti_default_validation_cov_3.5_fbeta,rfmulti_optimal_training_cov_3.5_fbeta,rfmulti_optimal_validation_cov_3.5_fbeta,svm_default_training_cov_3.5_fbeta,svm_default_validation_cov_3.5_fbeta,svm_optimal_training_cov_3.5_fbeta,svm_optimal_validation_cov_3.5_fbeta,nn_default_training_cov_3.5_fbeta,nn_default_validation_cov_3.5_fbeta,nn_optimal_training_cov_3.5_fbeta,nn_optimal_validation_cov_3.5_fbeta
61,Exc L3-4 RORB CARM1P1,8.129283016944967,0.9278350515463916,0.7617187500000001,0.998803827751196,0.9141791044776121,1.0,0.9146341463414634,1.0,0.9523809523809524,1.0,0.9210526315789472,1.0,0.9221311475409836,0.9963768115942028,0.9631147540983604,1.0,0.9423076923076922,1.0,0.8712121212121213,1.0,0.9007352941176472
62,Exc L5-6 FEZF2 ABO,8.543031820255237,0.9674329501915708,0.9253731343283582,1.0,0.9866666666666668,1.0,0.8823529411764706,1.0,1.0,1.0,0.9894459102902377,1.0,0.9894459102902377,1.0,1.0,1.0,1.0,1.0,0.9894459102902377,1.0,0.9894459102902377
63,Micro L1-3 TYROBP,5.977279923499918,0.8098591549295775,0.6756756756756757,1.0,0.9230769230769232,1.0,0.9615384615384616,1.0,1.0,1.0,0.9836065573770492,1.0,0.9836065573770492,1.0,0.9836065573770492,1.0,0.9420289855072465,0.9793814432989688,0.7647058823529411,1.0,0.9420289855072465
64,Inh L1-2 VIP LBH,5.554588851677637,0.6451612903225806,0.4716981132075472,1.0,0.8888888888888888,1.0,0.949367088607595,1.0,0.6896551724137933,1.0,0.9090909090909092,1.0,0.9459459459459459,0.9926470588235292,0.7142857142857143,1.0,0.8108108108108107,0.9375,0.7142857142857143,1.0,0.9459459459459459
65,Inh L1-2 SST BAGE2,6.754887502163467,0.7886435331230285,0.6164383561643836,1.0,0.963302752293578,1.0,0.9836065573770492,1.0,0.9793814432989691,1.0,0.9174311926605504,1.0,0.9523809523809524,0.9968847352024922,0.9677419354838708,1.0,0.9793814432989691,1.0,1.0,1.0,0.9677419354838708
66,Inh L5-6 SST KLHDC8A,5.977279923499918,0.8080808080808081,0.7017543859649122,1.0,0.9230769230769232,1.0,0.8823529411764707,1.0,0.9183673469387756,1.0,0.9433962264150944,1.0,1.0,0.989010989010989,0.9433962264150944,1.0,0.9649122807017544,1.0,0.9836065573770492,1.0,0.9649122807017544
67,Inh L3-6 VIP HS3ST3A1,6.321928094887363,0.8467741935483871,0.4375,1.0,0.8928571428571427,1.0,0.9322033898305084,1.0,0.8823529411764706,1.0,0.8333333333333334,1.0,0.8695652173913043,1.0,0.9375,1.0,0.8125,1.0,0.8552631578947367,1.0,0.9090909090909092
68,Inh L1-3 PAX6 SYT6,4.857980995127573,0.4128440366972477,0.2419354838709677,1.0,0.9615384615384616,1.0,1.0,1.0,0.8333333333333334,1.0,0.9090909090909092,1.0,0.9615384615384616,1.0,0.7142857142857143,1.0,0.9090909090909092,1.0,0.9615384615384616,1.0,1.0
69,Inh L5-6 SST MIR548F2,6.321928094887363,0.6803797468354429,0.3571428571428571,1.0,0.9027777777777776,1.0,0.9722222222222222,1.0,0.8333333333333333,1.0,0.7291666666666666,1.0,0.8928571428571429,0.9957627118644068,0.8653846153846154,1.0,0.8823529411764706,1.0,0.7894736842105264,1.0,0.7291666666666665
70,Exc L4-6 RORB SEMA3E,9.60177078840771,0.9595484477892758,0.8974358974358975,0.998286203941731,0.9290322580645162,1.0,0.9375,1.0,0.9483870967741936,1.0,0.8784596871239471,1.0,0.8844765342960288,0.996548748921484,0.9617918313570488,1.0,0.9225806451612903,1.0,0.9339263024142312,1.0,0.9486166007905138
